WarrTickID,WarrID,AgentID,Issue_date,Problem,Solution,EndDate,Laborhours,Rate
336,5343,83,9/16/2020,error5,soln1,5/1/2020,7,4
967,803,47,3/5/2020,error6,soln3,10/23/2020,96,13
422,7664,2,10/29/2020,error2,soln5,5/22/2020,82,79
100,3198,49,2/2/2020,error5,soln10,4/29/2020,89,13
668,873,70,3/17/2020,error7,soln3,7/15/2020,12,22
40,7873,11,12/27/2019,error5,soln1,4/5/2020,26,81
559,7201,87,3/7/2020,error4,soln7,1/20/2020,29,89
27,1110,48,11/9/2020,error8,soln10,2/27/2020,50,44
183,3521,95,3/25/2020,error1,soln7,6/12/2020,46,90
883,3341,70,2/22/2020,error10,soln8,11/1/2020,16,38
843,4982,48,6/21/2020,error10,soln1,8/11/2020,49,33
377,1601,71,12/31/2019,error8,soln5,8/19/2020,83,47
152,222,74,4/8/2020,error6,soln3,8/30/2020,51,28
980,6903,73,1/25/2020,error1,soln9,2/4/2020,66,25
417,5898,14,9/8/2020,error10,soln8,9/13/2020,73,87
717,3283,65,5/19/2020,error7,soln8,10/11/2020,95,39
651,3370,87,8/16/2020,error7,soln10,6/30/2020,27,73
505,9035,72,5/11/2020,error9,soln4,3/22/2020,67,5
864,6896,20,11/24/2019,error8,soln4,6/17/2020,77,5
434,2136,48,9/7/2020,error8,soln1,8/6/2020,2,77
578,3954,21,4/21/2020,error9,soln4,4/9/2020,7,80
161,1625,37,11/13/2020,error9,soln3,5/29/2020,90,19
165,4856,38,5/14/2020,error3,soln10,7/4/2020,93,22
2,172,32,10/13/2020,error7,soln2,7/1/2020,94,85
910,441,41,8/28/2020,error2,soln4,10/11/2020,39,78
631,8834,4,11/8/2020,error7,soln3,5/4/2020,45,45
199,8052,43,3/14/2020,error10,soln10,1/18/2020,59,6
536,9996,88,8/1/2020,error2,soln9,1/17/2020,35,9
33,7271,17,6/13/2020,error7,soln10,3/16/2020,69,10
653,1966,97,3/12/2020,error2,soln8,1/9/2020,25,100
966,6533,68,3/24/2020,error8,soln3,4/20/2020,68,69
553,4100,66,5/18/2020,error6,soln4,10/31/2020,26,64
31,1760,16,4/18/2020,error10,soln2,10/15/2020,28,100
449,6108,28,10/3/2020,error2,soln8,3/28/2020,39,43
754,7201,47,4/14/2020,error10,soln7,9/17/2020,65,5
502,4422,48,1/15/2020,error10,soln5,3/18/2020,46,26
900,9585,90,2/24/2020,error2,soln5,4/17/2020,4,18
186,8853,68,11/7/2020,error9,soln3,9/25/2020,60,43
740,8587,72,10/31/2020,error3,soln8,9/11/2020,94,72
21,9959,24,9/13/2020,error8,soln10,6/23/2020,82,98
159,2699,91,1/7/2020,error9,soln7,8/21/2020,51,75
372,1140,81,2/19/2020,error7,soln8,4/30/2020,79,60
672,9675,96,4/5/2020,error7,soln7,1/20/2020,43,100
712,3956,93,8/11/2020,error6,soln9,2/2/2020,21,72
636,2173,91,12/3/2019,error10,soln5,6/8/2020,68,97
98,7822,46,8/21/2020,error9,soln4,9/4/2020,40,55
469,2505,27,10/6/2020,error3,soln8,11/8/2020,21,49
253,3816,38,10/25/2020,error7,soln8,5/11/2020,89,10
474,9781,37,1/16/2020,error8,soln7,11/22/2020,16,40
619,5669,29,3/14/2020,error1,soln5,8/25/2020,89,74
