Date,Daily Deaths World
31-Dec-19,0
1-Jan-20,0
2-Jan-20,0
3-Jan-20,0
4-Jan-20,0
5-Jan-20,0
6-Jan-20,0
7-Jan-20,0
8-Jan-20,0
9-Jan-20,0
10-Jan-20,0
11-Jan-20,1.33332
12-Jan-20,1.33332
13-Jan-20,1.33332
14-Jan-20,0
15-Jan-20,1.33332
16-Jan-20,1.33332
17-Jan-20,1.33332
18-Jan-20,0
19-Jan-20,1.33332
20-Jan-20,1.33332
21-Jan-20,5.33332
22-Jan-20,18.66668
23-Jan-20,18.66668
24-Jan-20,26.66668
25-Jan-20,32
26-Jan-20,52
27-Jan-20,73.33332
28-Jan-20,86.66668
29-Jan-20,101.33332
30-Jan-20,118.66668
31-Jan-20,142.66668
1-Feb-20,169.33332
2-Feb-20,181.33332
3-Feb-20,199.99998
4-Feb-20,225.33332
5-Feb-20,250.66668
6-Feb-20,270.66668
7-Feb-20,281.33332
8-Feb-20,308
9-Feb-20,330.66668
10-Feb-20,362.66668
11-Feb-20,392
12-Feb-20,402.66668
13-Feb-20,614.33331
14-Feb-20,487.66665
15-Feb-20,551.66666
16-Feb-20,399.99997
17-Feb-20,525.33333
18-Feb-20,462.66664
19-Feb-20,458.66664
20-Feb-20,474
21-Feb-20,502.66667
22-Feb-20,470.00001
23-Feb-20,456.66668
24-Feb-20,511.00001
25-Feb-20,475.00001
26-Feb-20,428.66667
27-Feb-20,276.33333
28-Feb-20,252.33334
29-Feb-20,258.00001
1-Mar-20,302.66668
2-Mar-20,328.33333
3-Mar-20,368.66664
4-Mar-20,433.5
5-Mar-20,483.99999
6-Mar-20,566.66667
7-Mar-20,633.66667
8-Mar-20,681.33333
9-Mar-20,1029.49999
10-Mar-20,1318.33331
11-Mar-20,1791.49999
12-Mar-20,2066.00001
13-Mar-20,2455.99997
14-Mar-20,2915.99996
15-Mar-20,3015.66665
16-Mar-20,4073.49998
17-Mar-20,4511.66664
18-Mar-20,5686.33333
19-Mar-20,6211.16665
20-Mar-20,7424.99995
21-Mar-20,8920.83329
22-Mar-20,10905.66661
23-Mar-20,12483.33328
24-Mar-20,13691.99999
25-Mar-20,15196.99996
26-Mar-20,17606.16661
27-Mar-20,20070.5
28-Mar-20,23068.99998
29-Mar-20,25455.16661
30-Mar-20,26443.6666
31-Mar-20,27658.33328
1-Apr-20,30299.33329
2-Apr-20,34788.33333
3-Apr-20,37245
4-Apr-20,42659.66663
5-Apr-20,45786.66666
6-Apr-20,45084.66663
7-Apr-20,41377.66666
8-Apr-20,44517.33339
9-Apr-20,48885.33328
10-Apr-20,54007.99995
11-Apr-20,52515.66663
12-Apr-20,51110.66655
13-Apr-20,45863.33327
14-Apr-20,41692.99994
15-Apr-20,45733.66663
16-Apr-20,58221.33329
17-Apr-20,64570.99999
18-Apr-20,66396.3333
19-Apr-20,56342.33334
20-Apr-20,49058.33329
21-Apr-20,41655.66669
22-Apr-20,43854.99997
23-Apr-20,46368.99993
24-Apr-20,51061.99994
25-Apr-20,46380.66657
26-Apr-20,46567.99993
27-Apr-20,38058.33328
28-Apr-20,36906.99996
29-Apr-20,37672.33324
30-Apr-20,44183.99992
1-May-20,45426.33335
2-May-20,43695.99993
3-May-20,39263.66663
4-May-20,34828.99991
5-May-20,30546.33331
6-May-20,33317.66657
7-May-20,39187.33328
8-May-20,43220.33331
9-May-20,41505.66667
10-May-20,37362.00001
11-May-20,31685.33329
12-May-20,27729.33332
13-May-20,30930.6666
14-May-20,35158.33325
15-May-20,39386.66663
16-May-20,37864.33327
17-May-20,35586.66661
18-May-20,29794.33328
19-May-20,25315.99994
20-May-20,27665.99996
21-May-20,31975.66668
22-May-20,37227.66663
23-May-20,35928.99999
24-May-20,34017.33331
25-May-20,22259.66665
26-May-20,19195.99998
27-May-20,19124.66664
28-May-20,30055.66656
29-May-20,33105.00002
30-May-20,35009.66668
31-May-20,32414.33327
1-Jun-20,28219.33329
2-Jun-20,25394.99993
3-Jun-20,26782.99988
4-Jun-20,33253.33327
5-Jun-20,37027.99991
6-Jun-20,37351.99998
7-Jun-20,33031.66666
8-Jun-20,29077.99995
9-Jun-20,25441.66665
10-Jun-20,28074.33334
11-Jun-20,32235.33332
12-Jun-20,35832.33328
13-Jun-20,35388.99997
14-Jun-20,32921.33327
15-Jun-20,29077.66664
16-Jun-20,25915.33325
17-Jun-20,32743.99997
18-Jun-20,37760.33328
19-Jun-20,45055.99998
20-Jun-20,40150.16667
21-Jun-20,37716.66662
22-Jun-20,31822.66662
23-Jun-20,28124.66664
24-Jun-20,31345.33336
25-Jun-20,34213.66662
26-Jun-20,41938.99999
27-Jun-20,39851.66661
28-Jun-20,38543.33328
29-Jun-20,29924.00001
30-Jun-20,27658.99997
1-Jul-20,30306.66665
2-Jul-20,34754.66667
3-Jul-20,38091.66669
4-Jul-20,36572.99998
5-Jul-20,35242.66662
6-Jul-20,31124.33327
7-Jul-20,28215.33331
8-Jul-20,32309.99998
9-Jul-20,36969.33331
10-Jul-20,40668.66666
11-Jul-20,38729.6666
12-Jul-20,37698.99993
13-Jul-20,33996.66661
14-Jul-20,30850.00005
15-Jul-20,32585.66661
